thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
86,0,86,[0.17666666666666667],[0.3383333333333333],[1],[0],[0],[1.4257183999288827],['target'],86,0,86,0,123.03129620011896,,5,123.02253159997053,123.03129620011896,123.03129620011896,0.011595800053328276,124.44858959992416,[0.17666666666666667],[0.3383333333333333],[1],[0],[0],[1.4257183999288827],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
87,0,87,[-0.3566666666666667],[0.37583333333333335],[1],[0],[0],[1.5331334001384676],['target'],87,0,87,0,124.4884232999757,,10,124.47280999994837,124.4884232999757,124.4884232999757,0.02405550004914403,126.00630329991691,[-0.3566666666666667],[0.37583333333333335],[1],[0],[0],[1.5331334001384676],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
88,0,88,[-0.38],[-0.25666666666666665],[1],[0],[0],[1.9343093999195844],['target'],88,0,88,0,126.04662050004117,,10,126.02970890002325,126.04662050004117,126.04662050004117,0.023223200114443898,127.96448850003071,[-0.38],[-0.25666666666666665],[1],[0],[0],[1.9343093999195844],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
89,0,89,[0.21666666666666667],[-0.4658333333333333],[1],[0],[0],[1.6091577000916004],['target'],89,0,89,0,127.98446239996701,,5,127.97617859998718,127.98446239996701,127.98446239996701,0.011494699865579605,129.58581009996124,[0.21666666666666667],[-0.4658333333333333],[1],[0],[0],[1.6091577000916004],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
90,0,90,[0.425],[0.32166666666666666],[1],[0],[0],[1.8661554001737386],['target'],90,0,90,0,129.62553590000607,,10,129.6084340000525,129.62553590000607,129.62553590000607,0.02245820011012256,131.47494380013086,[0.425],[0.32166666666666666],[1],[0],[0],[1.8661554001737386],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
91,0,91,[-0.2925],[-0.18666666666666668],[1],[0],[0],[1.4597175000235438],['target'],91,0,91,0,131.4951506999787,,5,131.48679740005173,131.4951506999787,131.4951506999787,0.011627200059592724,132.94699200009927,[-0.2925],[-0.18666666666666668],[1],[0],[0],[1.4597175000235438],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
92,0,92,[-0.3641666666666667],[-0.30416666666666664],[1],[0],[0],[1.2660626999568194],['target'],92,0,92,0,132.98655729996972,,10,132.96980489999987,132.98655729996972,132.98655729996972,0.022677200147882104,134.23618520004675,[-0.3641666666666667],[-0.30416666666666664],[1],[0],[0],[1.2660626999568194],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
93,0,93,[0.029166666666666667],[-0.39416666666666667],[1],[0],[0],[1.2193067001644522],['target'],93,0,93,0,134.2778579001315,,10,134.2592263999395,134.2778579001315,134.2778579001315,0.022874000016599894,135.4789702000562,[0.029166666666666667],[-0.39416666666666667],[1],[0],[0],[1.2193067001644522],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
94,0,94,[-0.3625],[0.43666666666666665],[1],[0],[0],[2.9992778000887483],['target'],94,0,94,0,135.5184432999231,,10,135.501508400077,135.5184432999231,135.5184432999231,0.022374399937689304,138.50112850009464,[-0.3625],[0.43666666666666665],[1],[0],[0],[2.9992778000887483],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
95,0,95,[0.275],[-0.45],[1],[0],[0],[2.1665781000629067],['target'],95,0,95,0,138.54213770013303,,10,138.52480040001683,138.54213770013303,138.54213770013303,0.023495200090110302,140.69173879991286,[0.275],[-0.45],[1],[0],[0],[2.1665781000629067],['target'],523662,001,2024-10-11_11h51.19.639,visual search experiement,2024.2.1post4,59.81963183759981,2024-10-11 11h51.35.021398 +0530,
