41.0695 	EXP 	New trial (rep=3, index=5): <Trial 26 (5 in rep 3) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 26, 'thisTrialN': 5, 'thisRepN': 3}>
41.0749 	DATA 	Keypress: t
41.0852 	EXP 	fixation: autoDraw = False
41.0852 	EXP 	text: autoDraw = False
41.0852 	EXP 	text: height = 0.05
41.0852 	EXP 	text: height = 0.05
41.0852 	EXP 	text: height = 0.05
41.0852 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
41.0852 	EXP 	fixation: autoDraw = True
42.0685 	INFO 	Keyboard events cleared
42.0682 	EXP 	text: autoDraw = True
42.0849 	EXP 	fixation: autoDraw = False
42.6028 	EXP 	New trial (rep=3, index=6): <Trial 27 (6 in rep 3) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 27, 'thisTrialN': 6, 'thisRepN': 3}>
42.6098 	DATA 	Keypress: l
42.6179 	EXP 	fixation: autoDraw = False
42.6179 	EXP 	text: autoDraw = False
42.6179 	EXP 	text: height = 0.05
42.6179 	EXP 	text: height = 0.05
42.6179 	EXP 	text: height = 0.05
42.6179 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
42.6179 	EXP 	fixation: autoDraw = True
43.6180 	INFO 	Keyboard events cleared
43.6175 	EXP 	fixation: autoDraw = False
43.6175 	EXP 	text: autoDraw = True
44.1853 	EXP 	New trial (rep=4, index=0): <Trial 28 (0 in rep 4) data={'reward_today': 27, 'future_reward': 50, 'delay': 21, 'thisN': 28, 'thisTrialN': 0, 'thisRepN': 4}>
44.1918 	DATA 	Keypress: t
44.2005 	EXP 	fixation: autoDraw = False
44.2005 	EXP 	text: autoDraw = False
44.2005 	EXP 	text: height = 0.05
44.2005 	EXP 	text: height = 0.05
44.2005 	EXP 	text: height = 0.05
44.2005 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
44.2005 	EXP 	fixation: autoDraw = True
45.2009 	INFO 	Keyboard events cleared
45.2005 	EXP 	fixation: autoDraw = False
45.2005 	EXP 	text: autoDraw = True
45.6677 	EXP 	New trial (rep=4, index=1): <Trial 29 (1 in rep 4) data={'reward_today': 15, 'future_reward': 35, 'delay': 13, 'thisN': 29, 'thisTrialN': 1, 'thisRepN': 4}>
45.6716 	DATA 	Keypress: t
45.6832 	EXP 	fixation: autoDraw = False
45.6832 	EXP 	text: autoDraw = False
45.6832 	EXP 	text: height = 0.05
45.6832 	EXP 	text: height = 0.05
45.6832 	EXP 	text: height = 0.05
45.6832 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
45.6832 	EXP 	fixation: autoDraw = True
46.6667 	INFO 	Keyboard events cleared
46.6663 	EXP 	text: autoDraw = True
46.6830 	EXP 	fixation: autoDraw = False
47.1004 	EXP 	New trial (rep=4, index=2): <Trial 30 (2 in rep 4) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 30, 'thisTrialN': 2, 'thisRepN': 4}>
47.1046 	DATA 	Keypress: l
47.1160 	EXP 	fixation: autoDraw = False
47.1160 	EXP 	text: autoDraw = False
47.1160 	EXP 	text: height = 0.05
47.1160 	EXP 	text: height = 0.05
47.1160 	EXP 	text: height = 0.05
47.1160 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
47.1160 	EXP 	fixation: autoDraw = True
48.1165 	INFO 	Keyboard events cleared
48.1159 	EXP 	fixation: autoDraw = False
48.1159 	EXP 	text: autoDraw = True
48.5004 	EXP 	New trial (rep=4, index=3): <Trial 31 (3 in rep 4) data={'reward_today': 40, 'future_reward': 55, 'delay': 62, 'thisN': 31, 'thisTrialN': 3, 'thisRepN': 4}>
48.5049 	DATA 	Keypress: t
48.5154 	EXP 	fixation: autoDraw = False
48.5154 	EXP 	text: autoDraw = False
48.5154 	EXP 	text: height = 0.05
48.5154 	EXP 	text: height = 0.05
48.5154 	EXP 	text: height = 0.05
48.5154 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
48.5154 	EXP 	fixation: autoDraw = True
49.5153 	INFO 	Keyboard events cleared
49.5149 	EXP 	fixation: autoDraw = False
49.5149 	EXP 	text: autoDraw = True
49.9330 	EXP 	New trial (rep=4, index=4): <Trial 32 (4 in rep 4) data={'reward_today': 49, 'future_reward': 60, 'delay': 89, 'thisN': 32, 'thisTrialN': 4, 'thisRepN': 4}>
49.9375 	DATA 	Keypress: t
49.9483 	EXP 	fixation: autoDraw = False
49.9483 	EXP 	text: autoDraw = False
49.9483 	EXP 	text: height = 0.05
49.9483 	EXP 	text: height = 0.05
49.9483 	EXP 	text: height = 0.05
49.9483 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
49.9483 	EXP 	fixation: autoDraw = True
50.9479 	INFO 	Keyboard events cleared
50.9475 	EXP 	fixation: autoDraw = False
50.9475 	EXP 	text: autoDraw = True
51.3821 	EXP 	New trial (rep=4, index=5): <Trial 33 (5 in rep 4) data={'reward_today': 78, 'future_reward': 80, 'delay': 162, 'thisN': 33, 'thisTrialN': 5, 'thisRepN': 4}>
51.3867 	DATA 	Keypress: t
51.3977 	EXP 	fixation: autoDraw = False
51.3977 	EXP 	text: autoDraw = False
51.3977 	EXP 	text: height = 0.05
51.3977 	EXP 	text: height = 0.05
51.3977 	EXP 	text: height = 0.05
51.3977 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
51.3977 	EXP 	fixation: autoDraw = True
52.3975 	INFO 	Keyboard events cleared
52.3970 	EXP 	fixation: autoDraw = False
52.3970 	EXP 	text: autoDraw = True
52.8480 	EXP 	New trial (rep=4, index=6): <Trial 34 (6 in rep 4) data={'reward_today': 11, 'future_reward': 30, 'delay': 7, 'thisN': 34, 'thisTrialN': 6, 'thisRepN': 4}>
52.8521 	DATA 	Keypress: t
52.8635 	EXP 	fixation: autoDraw = False
52.8635 	EXP 	text: autoDraw = False
52.8635 	EXP 	text: height = 0.05
52.8635 	EXP 	text: height = 0.05
52.8635 	EXP 	text: height = 0.05
52.8635 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
52.8635 	EXP 	fixation: autoDraw = True
53.8632 	INFO 	Keyboard events cleared
53.8629 	EXP 	fixation: autoDraw = False
53.8629 	EXP 	text: autoDraw = True
54.4140 	EXP 	New trial (rep=5, index=0): <Trial 35 (0 in rep 5) data={'reward_today': 67, 'future_reward': 75, 'delay': 119, 'thisN': 35, 'thisTrialN': 0, 'thisRepN': 5}>
54.4178 	DATA 	Keypress: l
54.4296 	EXP 	fixation: autoDraw = False
54.4296 	EXP 	text: autoDraw = False
54.4296 	EXP 	text: height = 0.05
54.4296 	EXP 	text: height = 0.05
54.4296 	EXP 	text: height = 0.05
54.4296 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
54.4296 	EXP 	fixation: autoDraw = True
55.4297 	INFO 	Keyboard events cleared
