31.8250 	EXP 	grating: ori = 4.0
31.8250 	EXP 	Fixation: autoDraw = True
31.9788 	DATA 	Keypress: up
32.1422 	DATA 	Keypress: up
32.3083 	DATA 	Keypress: up
32.4585 	DATA 	Keypress: up
32.6411 	DATA 	Keypress: up
32.8247 	INFO 	Keyboard events cleared
32.8243 	EXP 	grating: autoDraw = True
32.8403 	EXP 	Fixation: autoDraw = False
33.1236 	EXP 	grating: autoDraw = False
34.8243 	EXP 	New trial (rep=25, index=0): <Trial 25 (0 in rep 25) data={'thisN': 25, 'thisTrialN': 0, 'thisRepN': 25}>
34.8255 	DATA 	Keypress: up
34.8394 	EXP 	Fixation: autoDraw = False
34.8394 	EXP 	grating: autoDraw = False
34.8394 	EXP 	grating: ori = 0.0
34.8394 	EXP 	Fixation: autoDraw = True
35.8395 	INFO 	Keyboard events cleared
35.8391 	EXP 	Fixation: autoDraw = False
35.8391 	EXP 	grating: autoDraw = True
35.8570 	EXP 	New trial (rep=26, index=0): <Trial 26 (0 in rep 26) data={'thisN': 26, 'thisTrialN': 0, 'thisRepN': 26}>
35.8581 	DATA 	Keypress: up
35.8722 	EXP 	Fixation: autoDraw = False
35.8722 	EXP 	grating: autoDraw = False
35.8722 	EXP 	grating: ori = 0.0
35.8722 	EXP 	Fixation: autoDraw = True
36.8729 	INFO 	Keyboard events cleared
36.8725 	EXP 	Fixation: autoDraw = False
36.8725 	EXP 	grating: autoDraw = True
37.1719 	EXP 	grating: autoDraw = False
37.4071 	EXP 	New trial (rep=27, index=0): <Trial 27 (0 in rep 27) data={'thisN': 27, 'thisTrialN': 0, 'thisRepN': 27}>
37.4084 	DATA 	Keypress: up
37.4218 	EXP 	Fixation: autoDraw = False
37.4218 	EXP 	grating: autoDraw = False
37.4218 	EXP 	grating: ori = -5.0
37.4218 	EXP 	Fixation: autoDraw = True
38.4223 	INFO 	Keyboard events cleared
38.4219 	EXP 	Fixation: autoDraw = False
38.4219 	EXP 	grating: autoDraw = True
38.7058 	EXP 	New trial (rep=28, index=0): <Trial 28 (0 in rep 28) data={'thisN': 28, 'thisTrialN': 0, 'thisRepN': 28}>
38.7072 	DATA 	Keypress: up
38.7211 	EXP 	grating: autoDraw = False
38.7211 	EXP 	Fixation: autoDraw = False
38.7211 	EXP 	grating: autoDraw = False
38.7211 	EXP 	grating: ori = 0.0
38.7211 	EXP 	Fixation: autoDraw = True
39.7212 	INFO 	Keyboard events cleared
39.7208 	EXP 	Fixation: autoDraw = False
39.7208 	EXP 	grating: autoDraw = True
39.9056 	EXP 	New trial (rep=29, index=0): <Trial 29 (0 in rep 29) data={'thisN': 29, 'thisTrialN': 0, 'thisRepN': 29}>
39.9068 	DATA 	Keypress: up
39.9206 	EXP 	Fixation: autoDraw = False
39.9206 	EXP 	grating: autoDraw = False
39.9206 	EXP 	grating: ori = 2.0
39.9206 	EXP 	Fixation: autoDraw = True
40.9207 	INFO 	Keyboard events cleared
40.9202 	EXP 	Fixation: autoDraw = False
40.9202 	EXP 	grating: autoDraw = True
41.0883 	EXP 	New trial (rep=30, index=0): <Trial 30 (0 in rep 30) data={'thisN': 30, 'thisTrialN': 0, 'thisRepN': 30}>
41.0895 	DATA 	Keypress: up
